filename,display_name
Adani_Green_Energy_Twenty_Five_B_Limited_Wind__Solar.pdf,Adani Green Energy Twenty Five B Limited Wind Solar
Adani_Solar_Energy_AP_Six_Private_Limited_Solar.pdf,Adani Solar Energy AP Six Private Limited Solar
Brickworks_Approach_to_Financial_Ratios.pdf,Brickworks Approach to Financial Ratios
CARE_Criteria_Consolidation_Combined_Approach_07_March_2025.pdf,CARE Criteria Consolidation Combined Approach 07 March 2025
CARE_Criteria_for_Infrastructure_Sector_Ratings_Mar_2025.pdf,CARE Criteria for Infrastructure Sector Ratings Mar 2025
CARE_Criteria_for_Short_Term_Instruments_Feb_2025.pdf,CARE Criteria for Short Term Instruments Feb 2025
CARE_Financial_Ratios_Non_Financial_Sector_March_2025.pdf,CARE Financial Ratios Non Financial Sector March 2025
CARE_Liquidity_Analysis_of_NonFinancial_Sector_Entities_20Sept_2024.pdf,CARE Liquidity Analysis of NonFinancial Sector Entities 20Sept 2024
CARE_Methodology_Solar_Power_Projects_December_2024.pdf,CARE Methodology Solar Power Projects December 2024
CARE_Policy_on_Default_Recognition_Jan_2025.pdf,CARE Policy on Default Recognition Jan 2025
CARE_Ratings_Methodology_Wind_Power_Projects_December_2024.pdf,CARE Ratings Methodology Wind Power Projects December 2024
Clean_Wind_Power_Devgarh_Private_Limited_Wind.pdf,Clean Wind Power Devgarh Private Limited Wind
Crisil_Intelligence_Indian_Renewable_Energy_Report_January_2026.pdf,CRISIL Intelligence Indian Renewable Energy Report January 2026
Crisil_Ratings_Basics_of_Ratings.pdf,CRISIL Ratings Basics of Ratings
Crisil_Ratings_Criteria_for_Consolidation.pdf,CRISIL Ratings Criteria for Consolidation
Crisil_Ratings_Criteria_for_Infrastructure_sectors.pdf,CRISIL Ratings Criteria for Infrastructure sectors
Fitch_Ratings_Global_Infra__Project_Finance_Criteria.pdf,Fitch Ratings Global Infra Project Finance Criteria
Fitch_Ratings_Renewable_Energy_Rating_Criteria_Feb_2023.pdf,Fitch Ratings Renewable Energy Rating Criteria Feb 2023
Green_Infra_Wind_Energy_Generation_Limited_Wind.pdf,Green Infra Wind Energy Generation Limited Wind
Greenko_Sironj_Wind_Power_Private_Limited_Wind.pdf,Greenko Sironj Wind Power Private Limited Wind
H_G__Banaskantha_Bess_Private_Limited_BESS.pdf,H&G Banaskantha Bess Private Limited BESS
ICRA_Complexity_Indicator_Dec_2025.pdf,ICRA Complexity Indicator Dec 2025
ICRA_Power_Solar_and_Wind_Rating_Methodology_July_2025.pdf,ICRA Power Solar and Wind Rating Methodology July 2025
ICRA_Project_Finance_Rating_Methodology_Nov_2022.pdf,ICRA Project Finance Rating Methodology Nov 2022
India_Ratings_Criteria_Infrastructure_Project_Finance_27_May_2024.pdf,India Ratings Criteria Infrastructure Project Finance 27 May 2024
India_Ratings_Evaluating_Corporate_Governance.pdf,India Ratings Evaluating Corporate Governance
Inox_Wind_Limited_Wind.pdf,Inox Wind Limited Wind
Jakson_Power_Private_Limited_Solar.pdf,Jakson Power Private Limited Solar
Juniper_Green_Bess_Zeta_Private_Limited_Wind__Solar__BESS.pdf,Juniper Green Bess Zeta Private Limited Wind Solar BESS
LoomSolar_Solar.pdf,LoomSolar Solar
Moodys_General_Project_Finance_Methodology.pdf,Moody's General Project Finance Methodology
Morjar_Renewables_Private_Limited_Wind__Solar.pdf,Morjar Renewables Private Limited Wind Solar
Purvah_Green_Power_Private_Limited_Wind__Solar.pdf,Purvah Green Power Private Limited Wind Solar
ReNew_Power_Wind__Solar.pdf,ReNew Power Wind Solar
ReNew_Sandur_Green_Energy_Private_Limited_Wind__Solar.pdf,ReNew Sandur Green Energy Private Limited Wind Solar
ReNew_Solar_Power_Private_Limited_IndRa_Solar.pdf,ReNew Solar Power Private Limited IndRa Solar
Renew_Solar_Power_Private_Limited_CARE_Solar.pdf,Renew Solar Power Private Limited CARE Solar
SEI_Sitara_Private_Limited_Solar.pdf,SEI Sitara Private Limited Solar
Solaire_Power_Private_Limited_Solar.pdf,Solaire Power Private Limited Solar
UP_Koraun_Urja_Private_Limited_Solar.pdf,UP Koraun Urja Private Limited Solar
Zenataris_Renewable_Energy_Private_Limited_Wind__Solar.pdf,Zenataris Renewable Energy Private Limited Wind Solar
