filename,tier,category,agency,publication_date,date_resolution,date_flag,dates_on_page1,container,payload_basis,pages,ocr_text_pages,inner_manifest,bytes,flags,duplicate_group,payload_sha256,file_sha256
Adani_Green_Energy_Twenty_Five_B_Limited_Wind__Solar.pdf,Tier 3,Wind-Solar Hybrid,CARE,June 2026,latest-not-future,FUTURE-DATES-IGNORED: 1,"March 04, 2026; December 2025; March 2025; December 2026; June 2026; January 2025; September 2025",PDF,file,6,0,no,208960,,,44f41acbb621d0bbede974752c8e99de15f5e57658f031d745520191e5ceb9be,44f41acbb621d0bbede974752c8e99de15f5e57658f031d745520191e5ceb9be
Adani_Solar_Energy_AP_Six_Private_Limited_Solar.pdf,Tier 3,Solar,CARE,"November 19, 2025",latest-not-future,,"November 19, 2025",PDF,file,5,0,no,191503,,,952ba0bfe1e7a874d9de2f07fa7a6922bdba0dcde2efa5a933380d4f3e99accd,952ba0bfe1e7a874d9de2f07fa7a6922bdba0dcde2efa5a933380d4f3e99accd
Brickworks_Approach_to_Financial_Ratios.pdf,Tier 1,Methodology,Brickwork,December 2024,latest-not-future,,December 2024,PDF,file,8,0,no,262754,,,479d814b6975e3dc7e67cf26280bbb944ca80d28fd2686d9f4a7eae22b3c75b4,479d814b6975e3dc7e67cf26280bbb944ca80d28fd2686d9f4a7eae22b3c75b4
CARE_Criteria_Consolidation_Combined_Approach_07_March_2025.pdf,Tier 1,Methodology,CARE,March 2025,latest-not-future,,August 2022; March 2025,PDF,file,5,0,no,188233,,,a15391388beec4ead1f8a6da6384f650ea1e4a63b8b529a8fe9b9815848d2719,a15391388beec4ead1f8a6da6384f650ea1e4a63b8b529a8fe9b9815848d2719
CARE_Criteria_for_Infrastructure_Sector_Ratings_Mar_2025.pdf,Tier 1,Methodology,CARE,March 2025,latest-not-future,,August 2022; March 2025,PDF,file,7,0,no,335848,,,0dee6c7105f499064dca399ba852edcf2b06c0b4185732c52031fc93177b9b53,0dee6c7105f499064dca399ba852edcf2b06c0b4185732c52031fc93177b9b53
CARE_Criteria_for_Short_Term_Instruments_Feb_2025.pdf,Tier 1,Methodology,CARE,February 2025,latest-not-future,,August 2022; February 2025,PDF,file,4,0,no,196626,,,3f70d0782cb95392f2eeb3a3d8493de72f98a13aa7d54e8eef6812628a402257,3f70d0782cb95392f2eeb3a3d8493de72f98a13aa7d54e8eef6812628a402257
CARE_Financial_Ratios_Non_Financial_Sector_March_2025.pdf,Tier 1,Methodology,CARE,March 2025,latest-not-future,,August 2022; March 2025,PDF,file,8,0,no,369825,,,18b73c76a3dd5166c4a3339d64665a75f084a3ac6a5a1dc62cecfa474fed9092,18b73c76a3dd5166c4a3339d64665a75f084a3ac6a5a1dc62cecfa474fed9092
CARE_Liquidity_Analysis_of_NonFinancial_Sector_Entities_20Sept_2024.pdf,Tier 1,Methodology,CARE,October 2024,latest-not-future,,August 2022; October 2024,PDF,file,3,0,no,221026,,,e55df6267f6cdc1024b3338b6b0e8a40f6205f2f770a6969a8429c9490fb0e9f,e55df6267f6cdc1024b3338b6b0e8a40f6205f2f770a6969a8429c9490fb0e9f
CARE_Methodology_Solar_Power_Projects_December_2024.pdf,Tier 1,Methodology,CARE,December 2024,latest-not-future,,August 2022; December 2024,PDF,file,7,0,no,271981,,,0cf3baa2b2ba8350a809ee24df4691bfa5e2beecec7e0f425b07e14afbb7478f,0cf3baa2b2ba8350a809ee24df4691bfa5e2beecec7e0f425b07e14afbb7478f
CARE_Policy_on_Default_Recognition_Jan_2025.pdf,Tier 1,Methodology,CARE,January 2025,latest-not-future,,August 2022; January 2025,PDF,file,5,0,no,203642,,,4bfe2e068a97b636960064d6ac40cec27bb600a8b7a26d06cfa54ac93f026367,4bfe2e068a97b636960064d6ac40cec27bb600a8b7a26d06cfa54ac93f026367
CARE_Ratings_Methodology_Wind_Power_Projects_December_2024.pdf,Tier 1,Methodology,CARE,December 2024,latest-not-future,,August 2022; December 2024,PDF,file,7,0,no,330141,,,227851ba6172a52738c1b2ec68ffd74e68633f046de8e3d2ffb815f56e89dd0d,227851ba6172a52738c1b2ec68ffd74e68633f046de8e3d2ffb815f56e89dd0d
Clean_Wind_Power_Devgarh_Private_Limited_Wind.pdf,Tier 3,Wind,India Ratings,"Jun 23, 2026",latest-not-future,,"Jun 23, 2026",PDF,file,8,0,no,285459,,,a5a5ea316191c8620c741ccfc2751f7c1c2a3af160277dc9bf64693f3f3a24de,a5a5ea316191c8620c741ccfc2751f7c1c2a3af160277dc9bf64693f3f3a24de
Crisil_Intelligence_Indian_Renewable_Energy_Report_January_2026.pdf,Tier 2,Sector report,,January 2026,latest-not-future,,January 2026,PDF,file,78,0,no,2204966,,,f5b0d5d550c08dcbcadce201fcea5faa85d6717a3a452f7874412105eed4a3ef,f5b0d5d550c08dcbcadce201fcea5faa85d6717a3a452f7874412105eed4a3ef
Crisil_Ratings_Basics_of_Ratings.pdf,Tier 1,Methodology,CRISIL,March 2026,latest-not-future,,March 2026,PDF,file,88,0,no,1648373,,,9ef71306466d469ea79c6d80863ea03ef7afd8e6f470149c8b9ab4ea1226c132,9ef71306466d469ea79c6d80863ea03ef7afd8e6f470149c8b9ab4ea1226c132
Crisil_Ratings_Criteria_for_Consolidation.pdf,Tier 1,Methodology,CRISIL,February 2025,latest-not-future,,February 2025,PDF,file,18,0,no,489378,,,f001177c11ff56fde7144e6fd574d1262cbbc441e990e83a952b65eacb848e7c,f001177c11ff56fde7144e6fd574d1262cbbc441e990e83a952b65eacb848e7c
Crisil_Ratings_Criteria_for_Infrastructure_sectors.pdf,Tier 1,Methodology,CRISIL,August 2025,latest-not-future,,August 2025,PDF,file,53,0,no,1136256,,,808d42a5f497bd91ebdcc7806c9f1b122c12b4231caf11b5de72b1c06f2b6eac,808d42a5f497bd91ebdcc7806c9f1b122c12b4231caf11b5de72b1c06f2b6eac
Fitch_Ratings_Global_Infra__Project_Finance_Criteria.pdf,Tier 1,Methodology,Fitch,8 January 2025,latest-not-future,HEURISTIC-DISPUTED: page-1 revision history. Criteria report is dated 17 May 2023; resolved value is a later cross-reference.,"17 May 2023; 8 January 2025; July 20, 2022; May 2023; January 2025; March 2023; October 2022; April 2022; December 2021; December 2020; November 2020; September 2020; July 2020",PDF,file,44,0,no,575063,,,5e554d4a605e58d2ddbaa048d1c25cd1829d7b737f0b950a18955e2a93ccb624,5e554d4a605e58d2ddbaa048d1c25cd1829d7b737f0b950a18955e2a93ccb624
Fitch_Ratings_Renewable_Energy_Rating_Criteria_Feb_2023.pdf,Tier 1,Methodology,Fitch,July 2022,latest-not-future,,"August 23, 2021; December 2020; July 2022",PDF,file,26,0,no,382571,,,47af492c052b97260ca4c1032e0919d3d6a026a8b0bf31bebfe37c521629af0a,47af492c052b97260ca4c1032e0919d3d6a026a8b0bf31bebfe37c521629af0a
Green_Infra_Wind_Energy_Generation_Limited_Wind.pdf,Tier 3,Wind,CRISIL,"March 27, 2025",latest-not-future,,"March 27, 2025",PDF,file,14,0,no,395109,,,108c0386565bd6930a1bb2baae8bff27825a5f9d40b53fcff26041f3797f1705,108c0386565bd6930a1bb2baae8bff27825a5f9d40b53fcff26041f3797f1705
Greenko_Sironj_Wind_Power_Private_Limited_Wind.pdf,Tier 3,Wind,CARE,"June 12, 2026",latest-not-future,,"June 12, 2026; April 1, 2026",PDF,file,6,0,no,207900,,,d39deded99f7952e2e5fcc0163f40ba9056c30ec1f1315552971294e77dc1caa,d39deded99f7952e2e5fcc0163f40ba9056c30ec1f1315552971294e77dc1caa
